lead_id,lead_need,lead_owner,lead_budget,lead_source,lead_industry,lead_location,lead_authority,lead_companysize,lead_last_contacted,lead_conversion_history,lead_score,Converted,lead_interactions,lead_behavior_score,lead_engagemen_tscore,lead_conversion_outcome,lead_conversion_attempts
2,Standard,AE 6,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-08-15,Failed,60,1,9,45,50,1,1
2,Urgent,AE 7,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-05-01,Successful,70,1,14,72,70,1,2
2,Standard,AE 11,High,Inbound,Technology,EMEA,Recommender,Enterprise,2022-01-15,"Successful, Failed",72,1,14,74,73,1,2
2,Urgent,AE 7,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-05-01,Successful,82,1,10,70,62,0,2
2,Critical,AE 8,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-06-01,Successful,65,1,12,74,74,0,3
2,Urgent,AE 7,High,Inbound,Healthcare,EMEA,Decision Maker,Enterprise,2022-04-01,Failed,65,1,12,60,78,1,2
2,Critical,AE 11,Medium,Drift,Finance,Other,Influencer,Small Business,2023-02-01,Successful,80,1,10,54,66,1,1
2,Critical,AE 8,Low,Inbound,Finance,EMEA,Recommender,Mid-Market,2022-02-01,Failed,30,0,13,76,61,1,2
2,Standard,AE 7,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-09-01,"Successful, Failed",85,1,11,59,75,1,1
2,Standard,AE 7,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-06-15,Successful,75,1,8,49,53,1,1
2,Critical,AE 5,High,Outbound,Technology,EMEA,Decision Maker,Enterprise,2023-06-15,Failed,60,1,14,72,73,0,2
2,Urgent,AE 8,Medium,Inbound,Finance,EMEA,Recommender,Small Business,2022-06-01,Failed,65,1,14,59,58,0,2
2,Standard,AE 11,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2023-03-15,Failed,71,1,11,65,66,1,1
2,Urgent,AE 7,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-01-15,"Successful, Failed",80,1,10,55,52,1,1
2,Urgent,AE 5,High,Inbound,Healthcare,EMEA,Decision Maker,Enterprise,2022-05-01,Successful,83,1,12,73,78,0,2
2,Standard,AE 7,High,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-09-15,Failed,25,0,14,73,62,0,2
2,Standard,AE 7,High,Inbound,Healthcare,APAC,Decision Maker,Enterprise,2022-09-01,"Successful, Failed",65,1,8,55,58,1,1
2,Standard,AE 7,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-05-15,Successful,38,0,10,58,68,0,2
2,Urgent,AE 8,High,Inbound,Finance,EMEA,Influencer,Small Business,2022-12-15,Successful,85,1,11,57,62,0,1
2,Critical,AE 11,Low,Inbound,Technology,EMEA,Recommender,Mid-Market,2022-10-01,Failed,75,1,10,53,70,1,2
2,Standard,AE 8,Medium,Inbound,Finance,AMER,Influencer,Small Business,2022-05-15,Successful,65,1,13,66,68,1,1
2,Urgent,AE 7,Medium,Inbound,Technology,EMEA,Decision Maker,Mid-Market,2023-02-01,"Successful, Failed",56,1,10,51,62,1,2
2,Standard,AE 7,Medium,Inbound,Finance,Other,Influencer,Enterprise,2022-05-15,Successful,80,1,13,61,56,1,1
2,Critical,AE 8,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-03-01,Failed,53,1,11,63,55,1,2
2,Critical,AE 8,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-04-01,Successful,21,0,10,65,73,1,3
2,Standard,AE 8,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-02-01,"Successful, Failed",69,1,11,70,62,1,2
2,Urgent,AE 11,Medium,Inbound,Finance,EMEA,Decision Maker,Enterprise,2022-02-01,Successful,76,1,15,56,74,1,2
2,Standard,AE 4,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-06-15,Successful,45,0,11,55,50,1,1
2,Standard,AE 8,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-07-01,Failed,15,0,8,74,60,1,1
2,Urgent,AE9,Low,Inbound,Healthcare,APAC,Decision Maker,Mid-Market,2022-10-01,Successful,47,0,14,72,75,1,2
2,Critical,AE 5,Medium,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-05-01,Failed,34,0,12,60,60,0,2
2,Urgent,AE 8,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-01-15,Successful,65,1,13,70,68,1,1
2,Standard,AE 7,Medium,Inbound,Finance,AMER,Influencer,Small Business,2022-02-01,Failed,72,1,10,45,68,0,2
2,Urgent,AE 6,High,Inbound,Healthcare,EMEA,Decision Maker,Enterprise,2022-02-01,Failed,60,1,15,70,78,1,2
2,Critical,AE 8,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-05-01,Failed,80,1,13,75,68,1,2
2,Standard,AE 8,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-04-15,Successful,26,0,8,55,50,1,2
2,Critical,AE 8,High,Inbound,Technology,EMEA,Decision Maker,Mid-Market,2022-01-15,Failed,64,1,13,55,61,1,1
2,Critical,AE 7,Low,Inbound,Finance,EMEA,Influencer,Small Business,2022-04-15,"Successful, Failed",60,1,9,58,68,0,2
2,Standard,AE 7,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-09-15,Successful,73,1,9,50,60,1,1
2,Urgent,AE 4,High,Inbound,Technology,EMEA,Decision Maker,Small Business,2022-07-01,Successful,65,1,9,51,73,1,2
2,Standard,AE 8,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2023-03-15,Failed,70,1,11,48,56,1,1
2,Standard,AE 6,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-03-01,Failed,70,1,13,58,49,0,1
2,Standard,AE 7,Low,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-02-01,Successful,61,1,10,63,70,1,1
2,Standard,AE 7,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-03-15,Successful,60,1,9,55,53,1,2
2,Urgent,AE 11,Medium,Inbound,Retail,EMEA,Influencer,Small Business,2023-03-15,"Successful, Failed",49,0,9,72,62,1,1
2,Urgent,AE 6,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-07-15,Failed,80,1,11,58,68,0,1
2,Urgent,AE 7,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-09-01,Successful,69,1,15,72,62,0,2
3,Standard,AE 6,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-10-01,"Successful, Failed",30,0,10,70,74,0,1
3,Standard,AE 7,Low,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-04-15,"Successful, Failed",75,1,12,69,70,1,1
3,Urgent,AE 3,High,Inbound,Retail,EMEA,Decision Maker,Mid-Market,2022-01-01,"Successful, Failed",66,1,13,68,69,1,2
3,Standard,AE 6,Medium,Inbound,Technology,EMEA,Influencer,Small Business,2022-09-15,"Successful, Failed",58,1,10,50,62,1,1
3,Standard,AE 11,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-05-15,Failed,44,0,12,48,50,1,3
3,Critical,AE 8,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-05-15,"Successful, Failed",20,0,12,72,75,1,3
3,Urgent,AE 6,Low,Inbound,Technology,EMEA,Recommender,Mid-Market,2022-02-01,Successful,64,1,14,55,75,0,2
3,Standard,AE 7,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2023-03-15,Successful,65,1,9,58,64,0,1
3,Standard,AE 7,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-07-15,"Successful, Failed",39,0,13,55,67,1,1
3,Critical,AE 7,Medium,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-05-15,Failed,75,1,15,72,68,0,2
3,Standard,AE 6,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2023-01-01,Failed,47,0,9,53,57,1,2
3,Urgent,AE 3,Medium,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-02-01,"Successful, Failed",70,1,11,68,50,1,3
3,Standard,AE 6,Medium,Inbound,Retail,AMER,Decision Maker,Enterprise,2023-02-01,Successful,17,0,10,53,68,1,2
3,Critical,AE 3,Low,Inbound,Healthcare,APAC,Recommender,Mid-Market,2023-01-01,Failed,65,1,14,70,74,0,3
3,Standard,AE 6,Medium,Inbound,Healthcare,AMER,Decision Maker,Mid-Market,2023-01-15,"Successful, Failed",60,1,12,70,75,1,2
3,Standard,AE 7,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-05-15,"Successful, Failed",75,1,8,53,68,1,2
3,Urgent,AE 8,Low,Inbound,Healthcare,EMEA,Decision Maker,Mid-Market,2022-06-01,Failed,70,1,10,70,72,0,2
3,Critical,AE9,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-07-01,Successful,78,1,10,70,75,0,2
3,Standard,AE 6,Medium,Inbound,Retail,EMEA,Influencer,Small Business,2023-03-15,Successful,60,1,11,66,50,0,1
3,Critical,AE 8,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-05-15,"Successful, Failed",75,1,13,68,75,0,2
3,Standard,AE 6,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-10-01,Failed,33,0,8,50,49,0,2
3,Standard,AE 7,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-01-15,Successful,70,1,9,75,58,1,2
3,Urgent,AE 2,Medium,Inbound,Finance,AMER,Influencer,Small Business,2023-03-15,Successful,25,0,14,70,50,0,2
3,Urgent,AE 5,High,Inbound,Finance,EMEA,Decision Maker,Enterprise,2022-09-01,Successful,79,1,13,55,62,1,1
3,Standard,AE 8,High,Inbound,Finance,EMEA,Decision Maker,Enterprise,2022-05-01,Failed,25,0,10,61,60,1,2
3,Standard,AE 6,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-11-15,"Successful, Failed",68,1,10,53,68,1,1
3,Standard,AE 4,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-05-15,"Successful, Failed",68,1,8,56,52,0,1
3,Standard,AE 11,High,Inbound,Finance,EMEA,Decision Maker,Small Business,2023-08-01,Successful,70,1,13,54,68,1,1
3,Standard,AE 11,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-01-15,Failed,60,1,9,58,73,0,1
3,Standard,AE 7,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2023-03-15,Successful,60,1,12,54,50,1,1
3,Standard,AE 5,High,Inbound,Finance,EMEA,Influencer,Small Business,2022-01-01,Successful,85,1,10,65,63,1,1
3,Standard,AE 6,Medium,Customer Referral,Retail,EMEA,Decision Maker,Small Business,2023-06-15,"Successful, Failed",10,0,8,50,54,1,2
3,Standard,AE 7,Medium,Inbound,Healthcare,EMEA,Decision Maker,Small Business,2022-04-15,Failed,43,0,9,50,55,0,2
3,Urgent,AE 8,High,Inbound,Healthcare,EMEA,Decision Maker,Enterprise,2022-08-01,Failed,75,1,10,72,75,1,2
3,Critical,AE 8,Low,Inbound,Healthcare,EMEA,Recommender,Enterprise,2022-06-01,Failed,36,0,15,76,72,0,2
3,Standard,AE 7,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-05-15,Successful,70,1,10,63,69,1,1
3,Standard,AE 1,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-09-15,Successful,63,1,10,48,60,1,1
3,Standard,AE 7,High,Inbound,Finance,EMEA,Influencer,Small Business,2022-07-15,Failed,72,1,10,68,76,1,1
3,Urgent,AE 7,Low,Inbound,Technology,EMEA,Recommender,Enterprise,2022-09-01,"Successful, Failed",70,1,13,58,68,1,2
3,Standard,AE 4,Low,Inbound,Healthcare,EMEA,Recommender,Small Business,2022-08-01,Failed,65,1,13,55,68,0,2
3,Standard,AE 5,Medium,Inbound,Technology,EMEA,Influencer,Small Business,2023-05-01,Successful,60,1,10,55,55,1,1
3,Urgent,AE9,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-09-01,Successful,90,1,15,72,78,1,2
3,Standard,AE 10,Medium,Inbound,Finance,APAC,Influencer,Small Business,2023-06-15,Failed,35,0,13,63,69,0,2
3,Urgent,AE 8,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-07-01,Successful,68,1,12,74,74,1,1
3,Critical,AE 5,Low,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-09-01,"Successful, Failed",90,1,11,75,75,1,2
3,Standard,AE 7,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-06-15,Successful,75,1,10,60,55,1,1
3,Standard,AE 7,High,Inbound,Technology,EMEA,Influencer,Mid-Market,2023-02-01,Successful,75,1,10,74,68,0,1
3,Standard,AE 2,Medium,Inbound,Technology,EMEA,Decision Maker,Small Business,2022-02-01,"Successful, Failed",54,1,11,50,75,1,2
3,Critical,AE 5,High,Inbound,Finance,APAC,Decision Maker,Mid-Market,2022-12-15,Failed,67,1,13,66,70,1,2
3,Standard,AE 11,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-01-15,Successful,60,1,8,58,56,1,1
3,Urgent,AE9,Low,Inbound,Technology,EMEA,Decision Maker,Mid-Market,2022-02-01,Successful,60,1,11,58,74,0,2
3,Standard,AE 6,Medium,Inbound,Technology,EMEA,Decision Maker,Small Business,2023-02-01,Failed,10,0,10,66,66,0,2
3,Urgent,AE 5,High,Employee Referral,Healthcare,EMEA,Recommender,Small Business,2022-09-01,Successful,80,1,10,70,70,0,2
3,Urgent,AE 11,High,Inbound,Healthcare,APAC,Decision Maker,Enterprise,2023-03-01,Failed,27,0,13,73,60,1,1
3,Standard,AE 5,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-09-15,Successful,73,1,8,55,50,1,1
3,Standard,AE 6,Medium,Inbound,Technology,APAC,Decision Maker,Small Business,2023-03-01,Failed,70,1,10,72,73,0,2
3,Standard,AE 11,Medium,Employee Referral,Retail,EMEA,Decision Maker,Small Business,2022-05-01,Successful,30,0,10,58,55,0,2
3,Urgent,AE 7,High,Inbound,Technology,EMEA,Decision Maker,Small Business,2023-03-01,Failed,52,1,11,58,60,0,2
3,Urgent,AE 8,Medium,Inbound,Technology,EMEA,Influencer,Small Business,2022-09-15,Successful,40,0,10,55,62,1,2
3,Critical,AE9,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-01-01,Failed,80,1,13,68,67,0,3
3,Standard,AE 7,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2023-08-15,Successful,65,1,10,55,62,1,1
3,Urgent,AE 11,Low,Inbound,Technology,EMEA,Recommender,Enterprise,2022-08-01,"Successful, Failed",41,0,14,72,74,1,2
3,Urgent,AE 8,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-03-01,Successful,75,1,15,58,69,0,1
3,Standard,AE 1,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2023-06-15,Successful,48,0,14,58,51,1,1
3,Standard,AE 4,Medium,Inbound,Finance,AMER,Influencer,Small Business,2023-06-15,"Successful, Failed",60,1,10,49,58,1,1
3,Urgent,AE 8,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-02-01,Failed,46,0,12,65,68,0,2
3,Urgent,AE 8,High,Employee Referral,Technology,Other,Decision Maker,Small Business,2022-08-01,Failed,60,1,15,70,73,1,1
3,Urgent,AE 7,High,Inbound,Finance,EMEA,Decision Maker,Enterprise,2022-07-01,Successful,70,1,11,58,73,1,1
3,Urgent,AE 7,High,Employee Referral,Technology,EMEA,Decision Maker,Enterprise,2023-03-01,Failed,30,0,14,72,71,0,2
3,Standard,AE 7,Medium,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-12-01,Successful,60,1,14,58,55,1,2
3,Standard,AE 11,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-05-15,Failed,25,0,12,55,51,1,2
3,Urgent,AE 4,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2023-01-15,Successful,42,0,10,50,60,0,3
3,Urgent,AE 11,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-09-01,Successful,90,1,11,70,75,0,2
3,Standard,AE 6,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-05-15,Successful,62,1,10,60,45,1,1
3,Critical,AE 3,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-04-01,Successful,57,1,13,74,68,1,2
3,Urgent,AE 6,High,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2023-06-15,Failed,65,1,10,58,74,0,2
3,Urgent,AE 7,High,Inbound,Technology,EMEA,Influencer,Enterprise,2022-07-01,Successful,85,1,12,76,68,1,2
3,Standard,AE 7,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-04-15,"Successful, Failed",51,1,10,55,63,1,2
3,Critical,AE 7,High,Inbound,Technology,APAC,Decision Maker,Enterprise,2022-09-01,Successful,75,1,14,55,74,1,2
3,Standard,AE 8,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-02-15,"Successful, Failed",48,0,9,55,49,1,2
3,Standard,AE 8,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-02-01,Successful,70,1,10,65,60,1,2
3,Urgent,AE 3,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-09-01,Successful,75,1,15,59,68,1,2
3,Urgent,AE 10,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-08-15,Failed,38,0,9,52,58,0,2
3,Critical,AE 5,Medium,Inbound,Retail,APAC,Influencer,Small Business,2022-09-01,Successful,36,0,12,47,53,0,2
3,Urgent,AE 8,High,Inbound,Finance,EMEA,Decision Maker,Enterprise,2022-01-01,"Successful, Failed",70,1,14,60,75,1,2
3,Standard,AE 8,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-08-15,Successful,60,1,10,55,50,1,1
3,Urgent,AE 6,Low,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-09-01,Successful,75,1,11,74,68,1,2
3,Standard,AE 5,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-09-15,Successful,60,1,12,57,62,0,1
3,Urgent,AE 8,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-07-01,Failed,60,1,15,71,77,1,2
3,Standard,AE 8,Medium,Inbound,Technology,EMEA,Decision Maker,Small Business,2022-08-15,Failed,82,1,9,55,57,0,1
3,Urgent,AE 7,High,Inbound,Technology,EMEA,Influencer,Small Business,2023-01-01,"Successful, Failed",60,1,13,60,69,0,2
3,Urgent,AE9,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-04-01,Successful,46,0,13,61,74,1,2
3,Urgent,AE 11,Medium,Outbound,Finance,EMEA,Influencer,Enterprise,2023-02-01,Successful,89,1,10,58,52,1,1
3,Standard,AE 4,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-09-15,"Successful, Failed",65,1,10,48,55,1,2
3,Critical,AE 8,Low,Inbound,Healthcare,EMEA,Decision Maker,Enterprise,2022-10-01,Successful,84,1,13,74,66,1,2
3,Standard,AE 5,Low,Inbound,Technology,EMEA,Influencer,Small Business,2022-06-01,Successful,81,1,12,70,68,0,1
3,Critical,AE 3,High,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2023-06-01,Failed,70,1,15,67,75,0,2
3,Standard,AE 6,Medium,Inbound,Retail,APAC,Decision Maker,Small Business,2022-05-15,"Successful, Failed",33,0,9,49,48,0,2
3,Critical,AE9,Low,Inbound,Finance,EMEA,Recommender,Small Business,2022-05-15,Failed,41,0,13,70,68,0,1
3,Standard,AE 10,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-09-15,"Successful, Failed",10,0,8,50,54,1,2
3,Critical,AE9,Low,Inbound,Healthcare,EMEA,Recommender,Enterprise,2022-02-01,Successful,39,0,13,70,77,0,3
3,Critical,AE 11,Low,Inbound,Healthcare,EMEA,Decision Maker,Mid-Market,2022-02-01,Successful,75,1,10,70,80,0,2
3,Standard,AE 8,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-05-15,"Successful, Failed",60,1,10,59,59,1,1
3,Critical,AE 6,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-05-15,Successful,80,1,11,63,68,1,3
3,Critical,AE9,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-08-01,Failed,65,1,12,58,69,0,3
3,Standard,AE 6,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-08-15,Failed,29,0,8,58,47,0,2
3,Urgent,AE 5,High,Inbound,Technology,EMEA,Decision Maker,Small Business,2022-09-01,Successful,75,1,10,69,70,1,2
3,Standard,AE 8,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-09-15,"Successful, Failed",55,1,9,50,60,1,1
3,Standard,AE 3,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-01-15,Successful,81,1,10,77,74,1,2
3,Standard,AE 7,High,Inbound,Technology,AMER,Decision Maker,Mid-Market,2022-01-01,"Successful, Failed",60,1,10,73,62,0,2
3,Critical,AE9,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-08-01,Failed,67,1,14,74,77,1,2
3,Critical,AE 3,High,Inbound,Technology,EMEA,Decision Maker,Mid-Market,2022-12-15,"Successful, Failed",58,1,13,70,61,1,2
3,Urgent,AE 8,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-01-01,Successful,75,1,13,58,75,0,2
3,Urgent,AE 5,Low,Inbound,Finance,EMEA,Influencer,Small Business,2022-07-01,Successful,85,1,14,55,78,0,1
3,Standard,AE 4,Medium,Customer Referral,Finance,EMEA,Influencer,Small Business,2023-08-15,Failed,75,1,10,58,52,1,1
3,Standard,AE 4,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2023-05-15,Successful,30,0,12,55,64,0,1
3,Standard,AE 5,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-05-15,Failed,72,1,10,55,54,0,2
3,Standard,AE 5,High,Inbound,Healthcare,EMEA,Influencer,Small Business,2023-08-15,Successful,75,1,13,74,69,1,2
3,Standard,AE 8,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-02-01,Failed,36,0,10,55,49,0,2
3,Urgent,AE 7,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-02-01,"Successful, Failed",75,1,14,55,56,0,2
4,Standard,AE 2,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-08-15,"Successful, Failed",60,1,12,50,48,1,2
4,Standard,AE 11,Medium,Inbound,Retail,EMEA,Influencer,Small Business,2022-08-15,"Successful, Failed",65,1,8,52,50,1,1
4,Standard,AE 11,Medium,Inbound,Finance,APAC,Decision Maker,Small Business,2023-07-01,Successful,44,0,11,58,68,0,1
4,Critical,AE 3,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-08-01,Successful,90,1,14,71,75,1,3
4,Urgent,AE 8,High,Inbound,Healthcare,EMEA,Decision Maker,Enterprise,2022-01-01,Successful,90,1,14,75,77,0,2
4,Critical,AE 8,High,Inbound,Technology,EMEA,Decision Maker,Mid-Market,2022-07-01,Successful,65,1,10,71,60,0,2
4,Standard,AE 6,Medium,Inbound,Healthcare,EMEA,Decision Maker,Enterprise,2022-07-01,"Successful, Failed",60,1,12,70,68,0,2
4,Critical,AE 8,Low,Inbound,Healthcare,EMEA,Recommender,Small Business,2023-04-01,Failed,71,1,13,71,68,1,2
4,Urgent,AE 6,Medium,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-01-01,Successful,90,1,13,64,56,1,2
4,Standard,AE 5,Medium,Inbound,Retail,EMEA,Influencer,Small Business,2023-08-15,Failed,41,0,10,69,50,1,1
4,Urgent,AE 5,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-07-01,Successful,87,1,12,70,55,1,2
4,Critical,AE 5,High,Inbound,Finance,EMEA,Decision Maker,Enterprise,2022-06-01,Successful,60,1,13,51,58,1,2
